Objective,Name,Country,Longitude,Latitude,Elevation,Year,N_plots,Species,Structure,Age,Data,Organisation,Website,Responsible,Mail,References
Solitary programme with two different stem numbers per hectare (350 resp. 700),Pr�ssinggraben,Austria,14.95,46.83,1150,1987,4,Picea abies,even-aged,48,diameter growth; height growth; crown length; damages,<a href='http://waldbau.boku.ac.at' target='_blank'>Federal Research and Training Centre for Forests (BFW)</a>,http://waldbau.boku.ac.at,Ferdinand Kristoefel,ferdinand.kristoefel@bfw.gv.at,NA
Solitary programme with two different stem numbers per hectare (350 resp. 700),Weitra,Austria,14.81667,48.72,760,1988,4,Picea abies,even-aged,43,diameter growth; height growth; crown length; damages,<a href='http://waldbau.boku.ac.at' target='_blank'>Federal Research and Training Centre for Forests (BFW)</a>,http://waldbau.boku.ac.at,Ferdinand Kristoefel,ferdinand.kristoefel@bfw.gv.at,NA
Solitary programme with two different stem numbers per hectare (350 resp. 700),K�nigswiesen,Austria,14.9,48.4,870,1987,6,Picea abies,even-aged,44,diameter growth; height growth; crown length; damages,<a href='http://waldbau.boku.ac.at' target='_blank'>Federal Research and Training Centre for Forests (BFW)</a>,http://waldbau.boku.ac.at,Ferdinand Kristoefel,ferdinand.kristoefel@bfw.gv.at,NA
Solitary programme with two different stem numbers per hectare (350 resp. 700),Lankowitz,Austria,15.06667,47.18,900,1987,4,Picea abies,even-aged,62,diameter growth; height growth; crown length; damages,<a href='http://waldbau.boku.ac.at' target='_blank'>Federal Research and Training Centre for Forests (BFW)</a>,http://waldbau.boku.ac.at,Ferdinand Kristoefel,ferdinand.kristoefel@bfw.gv.at,NA
growth of single cloned trees with different spacing,Weitra,Austria,14.81667,48.67,610,1992,12,Picea abies,even-aged,28,diameter growth; height growth; crown length; damages,<a href='http://waldbau.boku.ac.at' target='_blank'>Federal Research and Training Centre for Forests (BFW)</a>,http://waldbau.boku.ac.at,Ferdinand Kristoefel,ferdinand.kristoefel@bfw.gv.at,NA
growth of single cloned trees with different spacing,Sandl,Austria,14.61667,48.48,930,1992,12,Picea abies,even-aged,29,diameter growth; height growth; crown length; damages,<a href='http://waldbau.boku.ac.at' target='_blank'>Federal Research and Training Centre for Forests (BFW)</a>,http://waldbau.boku.ac.at,Ferdinand Kristoefel,ferdinand.kristoefel@bfw.gv.at,NA
growth of single cloned trees with different spacing,K�nigswiesen,Austria,14.88333,48.4,820,1992,6,Picea abies,even-aged,29,diameter growth; height growth; crown length; damages,<a href='http://waldbau.boku.ac.at' target='_blank'>Federal Research and Training Centre for Forests (BFW)</a>,http://waldbau.boku.ac.at,Ferdinand Kristoefel,ferdinand.kristoefel@bfw.gv.at,NA
growth of single cloned trees with different spacing,Ottenschlag,Austria,15.2,48.43,750,1992,6,Picea abies,even-aged,29,diameter growth; height growth; crown length; damages,<a href='http://waldbau.boku.ac.at' target='_blank'>Federal Research and Training Centre for Forests (BFW)</a>,http://waldbau.boku.ac.at,Ferdinand Kristoefel,ferdinand.kristoefel@bfw.gv.at,NA
Comparison of ecological condition and conservation status of English yew populations in Austria,Osterreich,Austria,13.9775,46.88,1050,1998,68,Fagus sylvatica; Taxus baccata,uneven-aged,NA,biometric data; competition indices; natural regeneration; vitality of yew trees,"<a href='http://waldbau.boku.ac.at' target='_blank'>Institute of Silviculture, Department of Forest and  Soil Sciences, University of Natural Resources and Life Sciences (BOKU)</a>",http://waldbau.boku.ac.at,Harald Vacik,harald.vacik@boku.ac.at,"Ruprecht H, Dhar A, Aigner B, Oitzinger G, Klumpp R, Vacik H (2010) Structural diversity of English yew (Taxus baccata L.) populations. Eur J Forest Res  129:189�198; Dhar A, Ruprecht H, Klumpp R, Vacik H (2007): Comparison of ecological condition and conservation status of English yew population in two Austrian gene conservation forests. Journal of Forestry Research18 (3): 161�186"
Analyze the effects of aluminum precipitation on soil and forest properties,ALU2200,Norway,11.11661667,60.25260833,200.2,1996,4,Picea abies,even-aged,52,soil and needle chemistry; root cores; diameter growth; height growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9004,Norway,11.52018056,60.90001389,198,1961,3,Picea abies,even-aged,70,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9005,Norway,11.52065833,60.90086389,197.9,1961,3,Pinus sylvestris,even-aged,72,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9012,Norway,12.41326111,60.70897222,325,1954,1,Picea abies,even-aged,48,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9013,Norway,12.40453056,60.70356667,273.6,1954,3,Picea abies,even-aged,49,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9014,Norway,12.41428889,60.70963889,326.3,1954,1,Picea abies,even-aged,48,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9015,Norway,12.40808889,60.69966389,267.4,1954,1,Picea abies,even-aged,51,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9016,Norway,12.40713611,60.70241389,285,1961,3,Picea abies,even-aged,50,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9017,Norway,10.77251944,60.446775,411.9,1954,4,Picea abies,even-aged,30,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9018,Norway,10.72855278,60.45075,510,1954,2,Picea abies,even-aged,46,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9019,Norway,10.7285,60.45087222,509.5,1954,1,Picea abies,even-aged,65,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9020,Norway,10.72854722,60.45094722,508.6,1954,2,Picea abies,even-aged,35,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9021,Norway,11.588075,60.18259722,141.7,1962,1,Pinus sylvestris,even-aged,31,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9022,Norway,11.58865833,60.18254167,141.2,1959,1,Pinus sylvestris,even-aged,31,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9024,Norway,11.41281667,60.76822222,276.7,1960,3,Picea abies,even-aged,42,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9030,Norway,11.54591389,58.98362778,178.1,1955,3,Pinus sylvestris,even-aged,47,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9033,Norway,11.03207778,59.30475556,80.1,1959,2,Pinus sylvestris,even-aged,45,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9041,Norway,9.932161111,60.25513056,191.1,1961,5,Pinus sylvestris,even-aged,75,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9073,Norway,11.82769722,59.73291944,179.6,1960,4,Pinus sylvestris,even-aged,20,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Effects of pre-commercial thinning on yound spruce and pine forests,AVST9081,Norway,11.59001389,60.16391111,228.6,1959,2,Picea abies,even-aged,36,spacing; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,BARL06,Norway,11.146338890000001,59.53446667,109.9,1976,5,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0001,Norway,13.1522,65.68276667,132.7,2002,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0002,Norway,13.1522,65.68276667,132.7,2002,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0003,Norway,13.15900556,65.580175,165.3,2002,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0004,Norway,13.15900556,65.580175,165.3,2002,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0005,Norway,13.16647222,65.58008611,209.2,2002,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0006,Norway,13.16647222,65.58008611,209.2,2002,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0007,Norway,13.19449167,65.70286667,101.4,2002,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0008E-01,Norway,13.20665278,65.31029722,300.5,1998,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0008E-02,Norway,13.20626111,65.31228611,300.7,1998,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0008E-03,Norway,13.20706389,65.31340833,295.5,1998,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0009E-01,Norway,13.20470278,65.31813611,300.9,1998,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Examining regrowth from gap thinning,FJ0009E-02,Norway,13.20319722,65.32038056,315.4,1998,1,Picea abies; Pinus sylvestris,uneven-aged,NA,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of whole-tree harvesting,GJHE1056,Norway,11.50386514,60.7241764,360.8,1984,5,Pinus sylvestris,even-aged,74,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of whole-tree harvesting,GJHE1082,Norway,8.532694681,58.92351318,166.5,1985,5,Pinus sylvestris,even-aged,81,yield; height growth; diameter growth,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1006,Norway,12.00159722,64.48531389,46.4,1982,3,Picea abies,even-aged,66,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1007,Norway,11.83241389,64.357175,189.8,1984,3,Picea abies,even-aged,73,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1008,Norway,11.41974444,64.215775,177.8,1983,3,Picea abies,even-aged,75,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1009,Norway,12.26461389,64.56375,96.6,1982,3,Picea abies,even-aged,67,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1011,Norway,13.44353889,64.77259722,407.7,1982,3,Picea abies,even-aged,54,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1012,Norway,11.88416944,64.91141111,25.7,1983,3,Picea abies,even-aged,58,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1016,Norway,13.93775,64.12221944,409.5,1986,3,Picea abies,even-aged,58,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1017,Norway,13.63914167,64.43370833,431.7,1985,3,Picea abies,even-aged,67,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1018,Norway,11.46786389,64.29308333,115.5,1984,3,Picea abies,even-aged,61,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1019,Norway,11.460975,64.71297222,37.9,1987,3,Picea abies,even-aged,81,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1022,Norway,11.04387778,64.20552778,190.8,1985,3,Picea abies,even-aged,66,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1023,Norway,12.64465833,64.55820833,150.2,1986,3,Picea abies,even-aged,61,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1024,Norway,13.649875,64.78788333,451.5,1985,3,Picea abies,even-aged,66,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1025,Norway,12.8986,64.73075278,191.6,1985,3,Picea abies,even-aged,66,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1026,Norway,13.88543333,64.15473889,374.5,1986,3,Picea abies,even-aged,59,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1027,Norway,13.9037,64.49692778,336.8,1986,3,Picea abies,even-aged,53,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1029,Norway,11.18495833,64.20536944,67.4,1988,3,Picea abies,even-aged,53,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1030,Norway,11.18373611,64.20570556,71.7,1988,3,Picea abies,even-aged,55,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1033,Norway,13.89318333,64.46405556,378.6,1985,3,Picea abies,even-aged,70,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1047,Norway,10.55040833,60.78369444,504.7,1984,3,Picea abies,even-aged,61,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1052,Norway,9.106208333,61.140825,613.2,1984,3,Picea abies,even-aged,70,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1080,Norway,17.52268889,68.67031944,138.2,1984,3,Picea abies,even-aged,74,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1090,Norway,7.744475,58.32377222,363.4,1986,3,Picea abies,even-aged,48,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1101,Norway,8.553722222,58.90012778,164.4,1990,12,Picea abies,even-aged,69,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1116,Norway,12.59305,61.14830833,498.6,1995,12,Picea abies,even-aged,68,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1117,Norway,12.59646389,61.14841389,505.5,1995,5,Picea abies,even-aged,71,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1121,Norway,12.51672222,61.06199444,572.1,1995,4,Picea abies,even-aged,74,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1122,Norway,12.27030278,61.34243056,441.1,1995,4,Picea abies,even-aged,69,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate the effects of fertilization on growth and survival of Norway Spruce,GJOD1145,Norway,10.94528056,59.56045278,126.2,2013,4,Picea abies,even-aged,63,yield; height growth; diameter growth; N fertilization,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate thinning in Birch stands,TynnBirch1087,Norway,9.742775,60.84465556,232.4,1986,3,Betula pubescens,even-aged,54,yield; diameter growth; height growth; thinning degree,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate thinning in Birch stands,TynnBirch1112,Norway,19.03318333,69.17965833,159.4,1992,3,Betula pubescens,even-aged,63,yield; diameter growth; height growth; thinning degree,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate thinning in Birch stands,TynnBirch1113,Norway,19.93457778,69.73315833,50.6,1992,3,Betula pubescens,even-aged,91,yield; diameter growth; height growth; thinning degree,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate thinning in Birch stands,TynnBirch1114,Norway,18.62896944,69.11307778,32.7,1992,4,Betula pubescens,even-aged,79,yield; diameter growth; height growth; thinning degree,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate thinning in Beech stands,TynnBeechV0033,Norway,5.937255556,59.72423889,86.6,1943,1,Fagus sylvatica,even-aged,118,yield; diameter growth; height growth; thinning degree,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
Investigate thinning in Beech stands,TynnBeechV0181,Norway,6.063069444,58.53120278,93.5,1954,1,Fagus sylvatica,even-aged,86,yield; diameter growth; height growth; thinning degree,<a href='http://www.NIBIO.no' target='_blank'>Norwegian Institute for Bioeconomy Research (NIBIO)</a>,http://www.NIBIO.no,Micky Allen,micky.allen@nibio.no,NA
